Position,Frame,Intensity_BGsub
41,2,11
41,3,12
41,4,11
41,5,18
41,6,15
41,7,10
41,8,14
41,9,13
41,10,14
41,11,14
41,12,13
41,13,15
41,14,18
41,15,19
41,16,22
41,17,17
41,18,25
41,19,26
41,20,16
41,21,11
41,22,26
41,23,16
41,24,20
41,25,38
41,26,25
41,27,21
41,28,52
41,29,25
41,30,54
41,31,24
41,32,22
41,33,81
41,34,118
41,35,48
41,36,109
41,37,160
41,38,20
41,39,22
41,40,113
41,41,65
41,42,96
41,43,89
41,44,66
41,45,21
41,46,137
41,47,69
41,48,64
41,49,63
41,50,63
41,51,64
41,52,74
41,53,56
41,54,64
41,55,70
41,56,73
41,57,55
41,58,53
41,59,61
41,60,94
41,61,87
41,62,59
41,63,67
41,64,100
41,65,74
41,66,32
41,67,147
41,68,40
41,69,94
41,70,32
41,71,29
41,72,23
41,73,25
41,74,103
41,75,115
41,76,116
41,77,106
41,78,20
41,79,104
41,80,70
41,81,96
41,82,125
41,83,140
41,84,73
41,85,131
41,86,118
41,87,22
41,88,70
41,89,52
41,90,60
41,91,66
41,92,84
41,93,106
41,94,136
41,95,147
41,96,175
41,97,194
41,98,225
41,99,224
41,100,246
41,101,301
41,102,283
41,103,339
41,104,311
41,105,424
41,106,311
41,107,348
41,108,354
41,109,382
41,110,312
41,111,375
41,112,363
41,113,279
41,114,282
41,115,281
41,116,256
41,117,246
41,118,296
41,119,298
41,120,233
41,121,210
41,122,208
41,123,235
41,124,214
41,125,205
41,126,209
41,127,238
41,128,277
41,129,250
41,130,282
41,131,289
41,132,336
41,133,382
41,134,379
41,135,493
41,136,440
41,137,593
41,138,515
41,139,636
41,140,737
41,141,735
41,142,856
41,143,825
41,144,847
41,145,929
41,146,761
41,147,890
41,148,725
41,149,926
41,150,719
41,151,727
41,152,715
41,153,643
41,154,695
41,155,756
41,156,710
41,157,591
41,158,550
41,159,607
41,160,545
41,161,623
41,162,635
41,163,570
41,164,610
41,165,565
41,166,559
41,167,527
41,168,518
41,169,570
41,170,573
41,171,581
41,172,557
41,173,565
41,174,758
41,175,596
41,176,606
41,177,565
41,178,720
41,179,803
41,180,729
41,181,664
41,182,802
41,183,797
41,184,897
41,185,933
41,186,808
41,187,832
41,188,923
41,189,932
41,190,929
41,191,938
41,192,1223
41,193,1057
41,194,953
41,195,1106
41,196,1160
41,197,987
